gen,mean,std,highest,lowest
40,0.0017339711217258227,0.04598186912031044,0.1762197525933249,-0.10574597799628135
41,0.007154217431187473,0.047531174838003315,0.12594525244666632,-0.11231257768372124
42,0.0028940476956293925,0.04316194474819718,0.18304453359828135,-0.1161726646491685
43,0.008850111898933479,0.038817028935874506,0.11324810195106241,-0.0980600132809539
44,-0.0007113540904926003,0.04360280848935147,0.18400891076735257,-0.09671821643799774
45,0.008867631226199112,0.0396738486385031,0.12137987687584899,-0.08490250034507565
46,0.006220879079590824,0.04379144285253231,0.09343519236691274,-0.14057905132661191
47,-0.004071931427767817,0.046753684969950235,0.12334668231514127,-0.13566827019331937
48,0.006395383249143614,0.04436725854496974,0.10357941556743967,-0.09903624533909211
49,0.010523176293751567,0.04429695818725061,0.11014452094983117,-0.13359253309291108
50,0.0053250077039036035,0.04225081982097814,0.16484817984406014,-0.0749919150737712
51,-0.004835031975866255,0.04285923779814078,0.11989751474965335,-0.15022995750627008
52,0.0036830634681612327,0.03943549766243052,0.0905488631803703,-0.07759669459144686
53,0.00043568915492713466,0.043114034127584834,0.09801027259528032,-0.1359384705605745
54,0.0035211835655080694,0.037047977630261686,0.10519438015956549,-0.07680805422993231
55,0.01589719553133466,0.04566758641329559,0.12515414263947922,-0.11268960090067318
56,0.00737280484162158,0.0490398764851654,0.14932565391582986,-0.1253198933971866
57,0.004391262724839576,0.04843476820325369,0.10580760041829755,-0.11068847695157294
58,0.01016270476363099,0.042725277310703684,0.19807302176155178,-0.1142482725803374
59,0.011097541523842937,0.04472073833736331,0.13511985917189356,-0.09160407258477074
60,0.011936911731352364,0.036053635298776754,0.08493772270175937,-0.08648483153860206
61,-0.0014214888985270165,0.04756512615237382,0.14579382727460372,-0.14819161913319676
62,0.012809918440036379,0.045355734604201225,0.11668461828299814,-0.14553660936990676
63,0.012317270905516688,0.04122913337867888,0.15612724062863856,-0.08089795482376508
64,0.009761141768888662,0.04153898764712353,0.12209479440058327,-0.1032011986689075
65,0.008195612686931624,0.04476910301024326,0.15062925748454953,-0.14922395357914456
66,0.009445720079241837,0.04751980891021837,0.1815051842035102,-0.12090111800321887
67,0.007375123197558914,0.0384152555889738,0.12737452050338322,-0.08849934748351138
68,0.008621079154067431,0.04499504691071922,0.14703961004767183,-0.07320761521039035
69,0.0002527278142103717,0.04361954291028946,0.13906754810566502,-0.1377959412632002
70,0.005407913331091383,0.04956092506184413,0.14023735100480755,-0.14032576540302974
71,0.0035811345522875435,0.04328993728003179,0.11221313083196073,-0.14236889808819586
72,0.0022759686845228648,0.04353730736432803,0.11023638062118672,-0.1425292972960058
73,0.003736293861540284,0.035224890762193754,0.10320052692154173,-0.0762801666574785
74,0.001723222252367157,0.0455211409844499,0.1404748829848399,-0.1266701921025658
75,-0.002442648041653771,0.042080067891431074,0.08091111070290595,-0.11160099391033892
76,0.0029535367900851172,0.04331305519105994,0.11385518942551522,-0.1144030938632559
77,0.006880017066947347,0.041948916518134226,0.09804665584077288,-0.08611126073703232
78,0.0039923767639812695,0.044466477247464546,0.1728863973029186,-0.09923538767959991
79,0.00511561333067666,0.03833557670926103,0.10043455655642829,-0.0965846071198451
80,0.01613759227618192,0.041351854486283535,0.13483560938343492,-0.10218815010301546
81,0.006426731288121323,0.04667854570327041,0.11153762268072552,-0.13339227750866403
82,0.003642867350019242,0.0430943968481107,0.12433108509114459,-0.12937116090893322
83,0.0019469690325682478,0.04228232102042056,0.1356683932828352,-0.10669869488960051
84,0.00548234068683029,0.04210692649019801,0.15076698947074463,-0.09485052009821329
85,-0.007634091525105116,0.04125012930660846,0.11535760232034836,-0.15014748338899528
86,0.007173301167234861,0.041238899847874905,0.09528902459877076,-0.07618674885396712
87,0.008275246699279117,0.041662698252056846,0.11557230010490491,-0.09072492431199294
